City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Peace River,CA,2022-01-29 22:17:27,56.2501,-117.286,30.51,86,100,0.0
202,Aktau,KZ,2022-01-29 22:17:27,43.65,51.2,27.18,96,95,16.96
203,Disa,IN,2022-01-29 22:17:28,24.25,72.1667,57.65,30,0,3.96
204,Gambo,CF,2022-01-29 22:17:28,4.6482,22.2633,69.76,30,11,4.32
205,Kachug,RU,2022-01-29 22:16:15,53.9606,105.8817,-20.69,100,99,1.14
206,Gull Lake,CA,2022-01-29 22:17:28,50.1001,-108.4847,30.56,85,66,4.25
207,Den Helder,NL,2022-01-29 22:15:26,52.9599,4.7593,47.07,66,40,21.99
208,Storforshei,NO,2022-01-29 22:17:29,66.4043,14.5233,20.88,94,100,4.52
209,Wanning,CN,2022-01-29 22:17:29,18.8003,110.3967,61.59,88,100,9.6
210,Sao Bento Do Sul,BR,2022-01-29 22:17:30,-26.2503,-49.3786,61.23,96,100,3.47
211,Swellendam,ZA,2022-01-29 22:17:30,-34.0226,20.4417,64.78,79,0,9.4
212,La Sarre,CA,2022-01-29 22:17:30,48.8002,-79.1996,2.46,95,95,3.69
213,Khandyga,RU,2022-01-29 22:17:31,62.6667,135.6,-41.17,99,66,1.92
214,Maragogi,BR,2022-01-29 22:17:31,-9.0122,-35.2225,76.12,75,100,5.5
215,Bengkulu,ID,2022-01-29 22:17:31,-3.8004,102.2655,75.76,91,100,4.03
216,Half Moon Bay,US,2022-01-29 22:16:07,37.4636,-122.4286,67.62,49,0,1.01
217,Pierre,US,2022-01-29 22:17:32,44.3683,-100.351,50.92,30,0,1.01
218,Port Lincoln,AU,2022-01-29 22:17:32,-34.7333,135.8667,66.92,84,34,13.96
219,Altay,CN,2022-01-29 22:17:32,47.8667,88.1167,1.99,52,36,7.36
220,Turek,PL,2022-01-29 22:17:33,52.0155,18.5005,41.97,88,100,29.04
